Junction,hour,day,month,dayofweek,cars_count,Traffic,is_weekend,rush_hour,is_holiday
1,0,1,11,6,15,0,0,0,0
1,1,1,11,6,13,0,0,0,0
1,2,1,11,6,10,0,0,0,0
1,3,1,11,6,7,0,0,0,0
1,4,1,11,6,9,0,0,0,0
1,5,1,11,6,6,0,0,0,0
1,6,1,11,6,9,0,0,0,0
1,7,1,11,6,8,0,0,0,0
1,8,1,11,6,11,0,0,0,0
1,9,1,11,6,12,0,0,0,0
1,10,1,11,6,15,0,0,1,0
1,11,1,11,6,17,0,0,0,0
1,12,1,11,6,16,0,0,1,0
1,13,1,11,6,15,0,0,0,0
1,14,1,11,6,16,0,0,1,0
1,15,1,11,6,12,0,0,0,0
1,16,1,11,6,12,0,0,1,0
1,17,1,11,6,16,0,0,1,0
1,18,1,11,6,17,0,0,0,0
1,19,1,11,6,20,0,0,0,0
1,20,1,11,6,17,0,0,0,0
1,21,1,11,6,19,0,0,0,0
1,22,1,11,6,20,0,0,0,0
1,23,1,11,6,15,0,0,0,0
1,0,2,11,0,14,0,0,0,0
1,1,2,11,0,12,0,0,0,0
1,2,2,11,0,14,0,0,0,0
1,3,2,11,0,12,0,0,0,0
1,4,2,11,0,12,0,0,0,0
1,5,2,11,0,11,0,0,0,0
1,6,2,11,0,13,0,0,0,0
1,7,2,11,0,14,0,0,0,0
1,8,2,11,0,12,0,0,0,0
1,9,2,11,0,22,1,0,0,0
1,10,2,11,0,32,1,0,1,0
1,11,2,11,0,31,1,0,0,0
1,12,2,11,0,35,1,0,1,0
1,13,2,11,0,26,1,0,0,0
1,14,2,11,0,34,1,0,1,0
1,15,2,11,0,30,1,0,0,0
1,16,2,11,0,27,1,0,1,0
1,17,2,11,0,27,1,0,1,0
1,18,2,11,0,24,1,0,0,0
1,19,2,11,0,26,1,0,0,0
1,20,2,11,0,29,1,0,0,0
1,21,2,11,0,32,1,0,0,0
1,22,2,11,0,30,1,0,0,0
1,23,2,11,0,27,1,0,0,0
1,0,3,11,1,21,1,0,0,0
1,1,3,11,1,18,0,0,0,0
1,2,3,11,1,19,0,0,0,0
1,3,3,11,1,13,0,0,0,0
1,4,3,11,1,11,0,0,0,0
1,5,3,11,1,11,0,0,0,0
1,6,3,11,1,11,0,0,0,0
1,7,3,11,1,14,0,0,0,0
1,8,3,11,1,15,0,0,0,0
1,9,3,11,1,29,1,0,0,0
1,10,3,11,1,33,1,0,1,0
1,11,3,11,1,32,1,0,0,0
1,12,3,11,1,32,1,0,1,0
1,13,3,11,1,29,1,0,0,0
1,14,3,11,1,27,1,0,1,0
1,15,3,11,1,26,1,0,0,0
1,16,3,11,1,28,1,0,1,0
1,17,3,11,1,26,1,0,1,0
1,18,3,11,1,25,1,0,0,0
1,19,3,11,1,29,1,0,0,0
1,20,3,11,1,26,1,0,0,0
1,21,3,11,1,24,1,0,0,0
1,22,3,11,1,25,1,0,0,0
1,23,3,11,1,20,0,0,0,0
1,0,4,11,2,18,0,0,0,0
1,1,4,11,2,18,0,0,0,0
1,2,4,11,2,13,0,0,0,0
1,3,4,11,2,13,0,0,0,0
1,4,4,11,2,10,0,0,0,0
1,5,4,11,2,12,0,0,0,0
1,6,4,11,2,13,0,0,0,0
1,7,4,11,2,11,0,0,0,0
1,8,4,11,2,13,0,0,0,0
1,9,4,11,2,22,1,0,0,0
1,10,4,11,2,26,1,0,1,0
1,11,4,11,2,27,1,0,0,0
1,12,4,11,2,31,1,0,1,0
1,13,4,11,2,24,1,0,0,0
1,14,4,11,2,23,1,0,1,0
1,15,4,11,2,26,1,0,0,0
1,16,4,11,2,26,1,0,1,0
1,17,4,11,2,24,1,0,1,0
1,18,4,11,2,23,1,0,0,0
1,19,4,11,2,25,1,0,0,0
1,20,4,11,2,26,1,0,0,0
1,21,4,11,2,24,1,0,0,0
1,22,4,11,2,26,1,0,0,0
1,23,4,11,2,24,1,0,0,0
1,0,5,11,3,19,0,0,0,0
1,1,5,11,3,20,0,0,0,0
1,2,5,11,3,18,0,0,0,0
1,3,5,11,3,13,0,0,0,0
1,4,5,11,3,13,0,0,0,0
1,5,5,11,3,9,0,0,0,0
1,6,5,11,3,12,0,0,0,0
1,7,5,11,3,12,0,0,0,0
1,8,5,11,3,15,0,0,0,0
1,9,5,11,3,16,0,0,0,0
1,10,5,11,3,23,1,0,1,0
1,11,5,11,3,24,1,0,0,0
1,12,5,11,3,25,1,0,1,0
1,13,5,11,3,24,1,0,0,0
1,14,5,11,3,26,1,0,1,0
1,15,5,11,3,22,1,0,0,0
1,16,5,11,3,20,0,0,1,0
1,17,5,11,3,20,0,0,1,0
1,18,5,11,3,22,1,0,0,0
1,19,5,11,3,26,1,0,0,0
1,20,5,11,3,22,1,0,0,0
1,21,5,11,3,21,1,0,0,0
1,22,5,11,3,21,1,0,0,0
1,23,5,11,3,21,1,0,0,0
1,0,6,11,4,16,0,0,0,0
1,1,6,11,4,18,0,0,0,0
1,2,6,11,4,19,0,0,0,0
1,3,6,11,4,14,0,0,0,0
1,4,6,11,4,12,0,0,0,0
1,5,6,11,4,13,0,0,0,0
1,6,6,11,4,14,0,0,0,0
1,7,6,11,4,14,0,0,0,0
1,8,6,11,4,13,0,0,0,0
1,9,6,11,4,20,0,0,0,0
1,10,6,11,4,22,1,0,1,0
1,11,6,11,4,26,1,0,0,0
1,12,6,11,4,26,1,0,1,0
1,13,6,11,4,21,1,0,0,0
1,14,6,11,4,23,1,0,1,0
1,15,6,11,4,23,1,0,0,0
1,16,6,11,4,19,0,0,1,0
1,17,6,11,4,19,0,0,1,0
1,18,6,11,4,20,0,0,0,0
1,19,6,11,4,24,1,0,0,0
1,20,6,11,4,18,0,0,0,0
1,21,6,11,4,19,0,0,0,0
1,22,6,11,4,16,0,0,0,0
1,23,6,11,4,17,0,0,0,0
1,0,7,11,5,16,0,0,0,0
1,1,7,11,5,16,0,0,0,0
1,2,7,11,5,10,0,0,0,0
1,3,7,11,5,9,0,0,0,0
1,4,7,11,5,8,0,0,0,0
1,5,7,11,5,7,0,0,0,0
1,6,7,11,5,9,0,0,0,0
1,7,7,11,5,8,0,0,0,0
1,8,7,11,5,12,0,0,0,0
1,9,7,11,5,13,0,0,0,0
1,10,7,11,5,17,0,0,1,0
1,11,7,11,5,14,0,0,0,0
